состояний: 135 

authenticated.card.laboratory_salary                       /laboratory/salary                   Лаборатория
authenticated.card.money                                   /money                               Движение денег
authenticated.card.pay_create                              /pay                                 Создание ордера
authenticated.card.money_show                              /money/show/:orderId                 Просмотр ордера
authenticated.card.pay_create.cash_parish                  /cash-parish                         Приход
authenticated.card.pay_create.cash_outflow                 /cash-outflow                        Расход
authenticated.card.pay_create.cash_transfer                /cash-transfer                       Перевод
authenticated.card.source_form                             /source-form/:id                     Создание категории платежа
authenticated.card.gift                                    /gift                                Подарок
authenticated.card.ecommerce-admin                         /ecommerce-admin                     Интернет-витрина
authenticated.card.ecommerce.start                         /start/                              Старт
authenticated.card.ecommerce.theme                         /theme/                              Внешний вид
authenticated.card.ecommerce.settings.main                 /settings/main                       О магазине
authenticated.card.ecommerce.settings.domain               /settings/domain                     Настройки витрины
authenticated.card.ecommerce.settings.products             /settings/products                   товар
authenticated.card.ecommerce.settings.other                /settings/other                      Другое
authenticated.card.ecommerce.settings.analytics            /settings/analytics                  Аналитика
authenticated.dashboard                                    /?signup                             Главная
authenticated.card.sidebar_history                         /history_sidebar/:query              
authenticated.card.sidebar_journal                         /journal_sidebar/:query              
authenticated.card.sidebar_orders                          /orders_sidebar/:query               
authenticated.card.sidebar_accounts                        /accounts_sidebar/:account_id/:query Детали счета
authenticated                                                                                   
authenticated.card                                         /card                                
anonymous                                                  /anonymous                           
authenticated.modal                                        /m                                   
